Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,RIACHO DA SERRA,2347,8493,1298,5528,02/04/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8492,1295,5516,03/04/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8492,1295,5516,04/04/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8482,1266,5395,20/04/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8480,1260,5370,23/04/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8480,1260,5370,24/04/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8480,1260,5370,25/04/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8479,1258,5358,26/04/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8478,1255,5346,27/04/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8476,1249,5322,30/04/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8475,1246,5309,03/05/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8474,1243,5297,04/05/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8474,1243,5297,07/05/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8470,1232,5249,08/05/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8469,1229,5236,09/05/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8468,1226,5224,11/05/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8465,1218,5188,15/05/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8464,1215,5176,16/05/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8464,1215,5176,17/05/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8460,1203,5127,21/05/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8459,1200,5115,22/05/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8460,1203,5127,24/05/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8459,1200,5115,28/05/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,nan,1160,4942,11/06/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8435,1132,4823,18/06/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8433,1126,4798,20/06/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8414,1072,4568,16/07/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8413,1069,4555,17/07/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8411,1063,4531,19/07/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8410,1061,4519,20/07/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8406,1049,4470,23/07/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8403,1041,4434,26/07/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8402,1038,4421,27/07/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8398,1028,4379,31/07/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8397,1026,4370,01/08/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8396,1023,4360,02/08/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8395,1021,4352,03/08/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8392,1015,4324,06/08/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8391,1013,4315,07/08/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8390,1011,4306,08/08/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8389,1008,4297,09/08/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8388,1006,4288,10/08/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8387,1004,4278,11/08/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8386,1002,4269,12/08/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8385,1000,4260,13/08/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8384,998,4251,14/08/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8383,996,4242,15/08/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8382,993,4233,16/08/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8381,991,4223,17/08/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8378,985,4196,20/08/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8377,983,4187,21/08/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8376,981,4178,22/08/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8375,978,4169,23/08/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8374,976,4159,24/08/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8373,974,4150,25/08/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8378,985,4196,26/08/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8371,970,4132,27/08/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8367,961,4095,31/08/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8366,959,4086,01/09/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8365,957,4077,02/09/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8364,955,4068,03/09/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8363,953,4059,04/09/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8362,951,4050,05/09/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8361,948,4040,06/09/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8360,946,4032,07/09/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8359,944,4023,08/09/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8358,942,4013,09/09/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8357,940,4004,10/09/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8356,938,3995,11/09/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8355,936,3986,12/09/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8354,933,3977,13/09/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8353,931,3968,14/09/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8351,927,3949,15/09/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8349,923,3931,16/09/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8347,918,3913,17/09/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8346,916,3904,18/09/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8345,914,3894,19/09/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8344,912,3885,20/09/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8343,910,3876,21/09/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8342,908,3867,22/09/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8341,905,3858,23/09/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8340,903,3849,24/09/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8339,901,3840,25/09/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8338,899,3830,26/09/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8337,897,3821,27/09/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8336,895,3812,28/09/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8335,893,3803,29/09/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8335,893,3803,30/09/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8334,890,3794,01/10/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8333,888,3785,02/10/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8326,873,3721,06/10/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8325,871,3712,07/10/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8324,869,3703,08/10/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8323,867,3693,09/10/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8320,860,3666,12/10/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8319,858,3657,13/10/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8318,856,3648,14/10/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8317,854,3639,15/10/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8316,852,3629,16/10/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8315,850,3620,17/10/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8314,848,3611,18/10/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8313,845,3602,19/10/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8312,843,3593,20/10/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8311,841,3584,21/10/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8310,839,3575,22/10/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8309,837,3565,23/10/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8308,835,3556,24/10/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8307,833,3547,25/10/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8306,830,3538,26/10/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8305,828,3529,27/10/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8304,826,3520,28/10/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8302,822,3501,29/10/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8301,820,3492,30/10/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8294,805,3428,03/11/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8293,803,3419,04/11/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8292,800,3410,05/11/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8291,798,3401,06/11/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8290,796,3392,07/11/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8289,794,3383,08/11/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8288,792,3374,09/11/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8288,792,3374,10/11/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8288,792,3374,11/11/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8286,788,3355,12/11/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8283,781,3328,15/11/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8282,779,3319,16/11/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8282,779,3319,17/11/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8281,777,3309,18/11/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8280,775,3300,19/11/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8279,773,3291,20/11/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8277,768,3273,21/11/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8275,764,3255,22/11/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8273,760,3236,23/11/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8272,757,3227,24/11/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8270,753,3209,25/11/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8268,749,3191,26/11/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8267,747,3182,27/11/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8266,745,3173,28/11/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8265,742,3163,29/11/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8264,740,3154,30/11/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8264,740,3154,01/12/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8263,738,3145,02/12/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8263,738,3145,03/12/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8262,736,3136,04/12/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8261,734,3127,05/12/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8260,732,3118,06/12/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8259,730,3109,07/12/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8258,727,3099,08/12/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8257,725,3090,09/12/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8256,723,3081,10/12/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8255,721,3072,11/12/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8253,717,3054,12/12/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8251,712,3035,13/12/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8250,710,3026,14/12/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8249,708,3017,15/12/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8247,704,2999,16/12/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8246,702,2990,17/12/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8245,700,2980,18/12/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8243,695,2962,19/12/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8238,685,2916,24/12/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8237,682,2908,25/12/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8236,680,2898,26/12/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8235,678,2889,27/12/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8234,676,2880,28/12/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8232,672,2862,30/12/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8231,670,2853,31/12/2012,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8230,667,2844,01/01/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8229,665,2834,02/01/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8228,663,2825,03/01/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8220,646,2752,11/01/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8216,637,2715,18/01/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8216,637,2715,19/01/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8215,635,2706,20/01/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8214,633,2697,21/01/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8213,631,2688,22/01/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8213,631,2688,23/01/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8211,627,2670,24/01/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8209,622,2651,25/01/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8207,618,2633,26/01/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8205,614,2615,27/01/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8203,609,2597,28/01/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8197,599,2550,31/01/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8196,597,2544,01/02/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8195,596,2537,02/02/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8194,594,2531,03/02/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8193,593,2524,04/02/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8193,593,2524,05/02/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8192,591,2518,06/02/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8192,591,2518,07/02/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8190,588,2505,10/02/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8189,587,2499,11/02/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8188,585,2493,12/02/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8188,585,2493,13/02/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8187,584,2486,14/02/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8189,587,2499,15/02/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8188,585,2493,16/02/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8188,585,2493,17/02/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8187,584,2486,18/02/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8202,607,2588,28/02/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8201,605,2578,01/03/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8196,597,2544,07/03/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8195,596,2537,08/03/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8195,596,2537,09/03/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8193,593,2524,10/03/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8192,591,2518,11/03/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8189,587,2499,14/03/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8187,584,2486,15/03/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8185,581,2473,16/03/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8187,584,2486,17/03/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8186,582,2480,18/03/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8185,581,2473,19/03/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8184,579,2467,20/03/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8183,578,2461,21/03/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8182,576,2454,22/03/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8181,575,2448,24/03/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8181,575,2448,25/03/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8179,572,2435,26/03/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8179,572,2435,27/03/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8175,566,2409,06/04/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8175,566,2409,07/04/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8174,564,2403,08/04/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8174,564,2403,09/04/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8174,564,2403,10/04/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8173,563,2397,11/04/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8173,563,2397,12/04/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8172,561,2390,13/04/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8172,561,2390,14/04/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8171,560,2384,15/04/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8171,560,2384,16/04/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8170,558,2378,17/04/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8170,558,2378,18/04/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8169,557,2371,19/04/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8218,642,2734,20/04/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8220,646,2752,21/04/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8223,652,2779,22/04/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8224,655,2789,23/04/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8259,730,3109,24/04/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8358,942,4013,25/04/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8363,953,4059,26/04/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8363,953,4059,27/04/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8364,955,4068,28/04/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8364,955,4068,29/04/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8364,955,4068,30/04/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8363,953,4059,01/05/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8363,953,4059,02/05/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8364,955,4068,03/05/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8364,955,4068,04/05/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8363,953,4059,05/05/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8363,953,4059,06/05/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8362,951,4050,07/05/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8362,951,4050,08/05/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8362,951,4050,09/05/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8363,953,4059,10/05/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8372,972,4141,11/05/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8373,974,4150,12/05/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8374,976,4159,13/05/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8374,976,4159,14/05/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8374,976,4159,15/05/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8374,976,4159,16/05/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8373,974,4150,17/05/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8373,974,4150,18/05/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8374,976,4159,19/05/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8373,974,4150,20/05/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8376,981,4178,21/05/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8375,978,4169,22/05/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8375,978,4169,23/05/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8374,976,4159,24/05/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8374,976,4159,25/05/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8373,974,4150,26/05/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8373,974,4150,27/05/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8373,974,4150,28/05/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8372,972,4141,30/05/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8371,970,4132,31/05/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8371,970,4132,01/06/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8370,968,4123,02/06/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8369,966,4114,03/06/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8369,966,4114,03/06/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8368,963,4105,04/06/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8368,963,4105,04/06/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8369,966,4114,06/06/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8368,963,4105,07/06/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8368,963,4105,08/06/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8367,961,4095,09/06/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8366,959,4086,10/06/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8365,957,4077,11/06/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8365,957,4077,12/06/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8364,955,4068,13/06/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8368,963,4105,14/06/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8368,963,4105,15/06/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8368,963,4105,16/06/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8367,961,4095,17/06/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8367,961,4095,18/06/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8366,959,4086,20/06/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8366,959,4086,21/06/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8370,968,4123,22/06/2013,-38.325225,-5.562632
Ceará,RIACHO DA SERRA,2347,8376,981,4178,23/06/2013,-38.325225,-5.562632
