Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,SÃO DOMINGOS,320,9703,000,000,01/01/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9702,000,000,02/01/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9702,000,000,03/01/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9701,000,000,04/01/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9700,000,000,05/01/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9700,000,000,06/01/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9699,000,000,07/01/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9699,000,000,08/01/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9700,000,000,09/01/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9699,000,000,10/01/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9699,000,000,11/01/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9698,000,000,12/01/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9697,000,000,13/01/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9626,000,000,14/05/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9639,000,000,15/05/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9638,000,000,16/05/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9626,000,000,17/05/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9636,000,000,18/05/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9637,000,000,19/05/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9635,000,000,20/05/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9634,000,000,21/05/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9633,000,000,22/05/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9632,000,000,23/05/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9631,000,000,24/05/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9623,000,000,25/05/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9622,000,000,26/05/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9621,000,000,27/05/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9620,000,000,28/05/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9619,000,000,29/05/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9619,000,000,30/05/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9618,000,000,31/05/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9617,000,000,01/06/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9616,000,000,02/06/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9615,000,000,03/06/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9615,000,000,04/06/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9614,000,000,05/06/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9613,000,000,06/06/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9613,000,000,07/06/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9612,000,000,08/06/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9612,000,000,09/06/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9611,000,000,10/06/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9610,000,000,11/06/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9609,000,000,12/06/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9593,000,000,30/06/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9592,000,000,01/07/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9591,000,000,02/07/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9590,000,000,03/07/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9589,000,000,04/07/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9589,000,000,05/07/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9588,000,000,06/07/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9587,000,000,07/07/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9587,000,000,08/07/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9586,000,000,09/07/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9585,000,000,10/07/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9584,000,000,11/07/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9583,000,000,12/07/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9582,000,000,13/07/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9581,000,000,14/07/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9580,000,000,15/07/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9579,000,000,16/07/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9578,000,000,17/07/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9577,000,000,18/07/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9577,000,000,19/07/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9575,000,000,20/07/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9574,000,000,21/07/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9573,000,000,22/07/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9572,000,000,23/07/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9571,000,000,24/07/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9570,000,000,25/07/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9570,000,000,26/07/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9569,000,000,27/07/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9568,000,000,28/07/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9567,000,000,29/07/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9566,000,000,30/07/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9565,000,000,31/07/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9564,000,000,01/08/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9564,000,000,02/08/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9563,000,000,03/08/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9562,000,000,04/08/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9561,000,000,05/08/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9560,000,000,06/08/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9559,000,000,07/08/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9558,000,000,08/08/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9557,000,000,09/08/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9555,000,000,10/08/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9554,000,000,11/08/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9553,000,000,12/08/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9552,000,000,13/08/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9551,000,000,14/08/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9550,000,000,15/08/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9549,000,000,16/08/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9548,000,000,17/08/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9547,000,000,18/08/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9546,000,000,19/08/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9545,000,000,20/08/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9544,000,000,21/08/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9543,000,000,22/08/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9542,000,000,23/08/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9541,000,000,24/08/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9540,000,000,25/08/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9539,000,000,26/08/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9538,000,000,27/08/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9537,000,000,28/08/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9536,000,000,29/08/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9535,000,000,30/08/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9534,000,000,31/08/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9533,000,000,01/09/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9532,000,000,02/09/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9531,000,000,03/09/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9530,000,000,04/09/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9529,000,000,05/09/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9528,000,000,06/09/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9527,000,000,07/09/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9526,000,000,08/09/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9525,000,000,09/09/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9524,000,000,10/09/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9523,000,000,11/09/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9522,000,000,12/09/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9521,000,000,13/09/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9520,000,000,14/09/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9519,000,000,15/09/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9518,000,000,16/09/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9517,000,000,17/09/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9516,000,000,18/09/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9515,000,000,19/09/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9514,000,000,20/09/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9513,000,000,21/09/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9512,000,000,22/09/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9511,000,000,23/09/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9510,000,000,24/09/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9509,000,000,25/09/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9508,000,000,26/09/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9507,000,000,27/09/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9506,000,000,28/09/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9505,000,000,29/09/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9504,000,000,30/09/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9503,000,000,01/10/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9502,000,000,02/10/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9501,000,000,03/10/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9500,000,000,04/10/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9499,000,000,05/10/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9498,000,000,06/10/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9497,000,000,07/10/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9496,000,000,08/10/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9495,000,000,09/10/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9494,000,000,10/10/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9493,000,000,11/10/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9492,000,000,12/10/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9491,000,000,13/10/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9490,000,000,14/10/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9488,000,000,15/10/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9486,000,000,16/10/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9485,000,000,17/10/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9485,000,000,18/10/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9484,000,000,19/10/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9484,000,000,20/10/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9483,000,000,21/10/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9482,000,000,22/10/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9481,000,000,23/10/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9480,000,000,24/10/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9479,000,000,25/10/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9478,000,000,26/10/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9477,000,000,27/10/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9476,000,000,28/10/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9475,000,000,29/10/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9474,000,000,30/10/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9473,000,000,31/10/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9472,000,000,01/11/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9471,000,000,02/11/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9470,000,000,03/11/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9469,000,000,04/11/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9468,000,000,05/11/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9467,000,000,06/11/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9466,000,000,07/11/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9465,000,000,08/11/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9435,000,000,09/12/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9434,000,000,10/12/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9433,000,000,11/12/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9432,000,000,12/12/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9431,000,000,13/12/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9430,000,000,14/12/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9429,000,000,15/12/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9428,000,000,16/12/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9424,000,000,17/12/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9424,000,000,18/12/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9423,000,000,19/12/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9422,000,000,20/12/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9421,000,000,21/12/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9419,000,000,22/12/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9421,000,000,23/12/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9420,000,000,24/12/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9420,000,000,25/12/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9419,000,000,26/12/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9419,000,000,27/12/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9418,000,000,28/12/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9418,000,000,29/12/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9418,000,000,30/12/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9417,000,000,31/12/2010,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9581,147,4588,16/09/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9581,147,4588,19/09/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9575,144,4508,20/09/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9575,144,4508,21/09/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9573,143,4481,22/09/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9573,143,4481,23/09/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9573,143,4481,26/09/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9573,143,4481,27/09/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9573,143,4481,28/09/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9573,143,4481,29/09/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9573,143,4481,30/09/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9573,143,4481,03/10/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9573,143,4481,05/10/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9573,143,4481,06/10/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9573,143,4481,07/10/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9573,143,4481,10/10/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9573,143,4481,11/10/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9573,143,4481,13/10/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9552,134,4199,14/10/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9542,130,4064,24/10/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9542,130,4064,25/10/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9542,130,4064,26/10/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9539,129,4024,01/11/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9532,126,3930,03/11/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9532,126,3930,04/11/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9528,124,3876,07/11/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9528,124,3876,08/11/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9528,124,3876,09/11/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9526,123,3849,10/11/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9526,123,3849,16/11/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9526,123,3849,17/11/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9526,123,3849,18/11/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9513,118,3675,24/11/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9513,118,3675,25/11/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9509,116,3621,28/11/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9509,116,3621,30/11/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9506,115,3581,01/12/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9506,115,3581,02/12/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9503,113,3540,05/12/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9503,113,3540,06/12/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9503,113,3540,08/12/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9503,113,3540,09/12/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9503,113,3540,12/12/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9503,113,3540,13/12/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9503,113,3540,14/12/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9493,109,3419,15/12/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9493,109,3419,16/12/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9490,108,3384,19/12/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9490,108,3384,20/12/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9490,108,3384,21/12/2011,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9479,104,3257,02/01/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9479,104,3257,03/01/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9479,104,3257,04/01/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9476,103,3223,05/01/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9476,103,3223,06/01/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9476,103,3223,09/01/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9476,103,3223,11/01/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9476,103,3223,13/01/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9464,099,3084,16/01/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9464,099,3084,18/01/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9464,099,3084,23/01/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9464,099,3084,24/01/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9459,097,3026,26/01/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9459,097,3026,27/01/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9459,097,3026,30/01/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9459,097,3026,31/01/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9459,097,3026,01/02/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9459,097,3026,02/02/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9459,097,3026,03/02/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9459,097,3026,06/02/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9459,097,3026,07/02/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9459,097,3026,08/02/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9459,097,3026,09/02/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9459,097,3026,13/02/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9445,092,2864,16/02/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9445,092,2864,17/02/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9445,092,2864,22/02/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9462,098,3061,24/02/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9462,098,3061,27/02/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9462,098,3061,28/02/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9462,098,3061,29/02/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9485,106,3327,01/03/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9485,106,3327,02/03/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9485,106,3327,05/03/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9483,106,3303,07/03/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9483,106,3303,08/03/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9483,106,3303,09/03/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9483,106,3303,12/03/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9483,106,3303,13/03/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9483,106,3303,14/03/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9483,106,3303,15/03/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9483,106,3303,16/03/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9483,106,3303,19/03/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9475,103,3211,20/03/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9475,103,3211,21/03/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9475,103,3211,27/03/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9475,103,3211,28/03/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9466,099,3107,02/04/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9466,099,3107,03/04/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9466,099,3107,04/04/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9452,094,2945,20/04/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9452,094,2945,23/04/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9452,094,2945,24/04/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9452,094,2945,25/04/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9452,094,2945,26/04/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9452,094,2945,27/04/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9452,094,2945,30/04/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9452,094,2945,03/05/2012,-39.283268,-4.220286
Ceará,SÃO DOMINGOS,320,9452,094,2945,04/05/2012,-39.283268,-4.220286
