--------------------
BDMEP - INMET
--------------------
Estação           : CAMPOS SALES - CE (OMM: 82777)
Latitude  (graus) : -7
Longitude (graus) : -40.38
Altitude  (metros): 583.50
Estação Operante
Inicio de operação: 01/06/1960
Periodo solicitado dos dados: 01/01/1920 a 01/10/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82777;30/11/1962;0000;5;4.325843;10;140.1;;;167.9;6.842697;7;58.3;;986.294382;32.31;26.087333;21.536667;61.508333;;
82777;31/12/1962;0000;9;5.462366;14;144.7;;;203.7;6.817204;2;83;;986.549462;31.522581;25.205161;20.867742;65.556452;;
82777;31/01/1963;0000;9;4.065217;14;82.2;;;178.7;7.258065;6;73.3;;987.902151;30.448387;24.38129;20.341935;73.935484;;
82777;31/03/1963;0000;9;5.43956;12;63.2;;;179.3;7.630435;10;105;;986.421739;28.858065;23.358065;19.645161;82.354839;;
82777;30/04/1963;0000;14;4.505618;14;68.3;;;199.7;7.344444;4;63;;986.041111;30.12;23.734;19.713333;80.616667;;
82777;31/05/1963;0000;14;5.065574;10;109;;;238.8;5.946237;1;8;;989.149462;29.13871;22.565161;18.190323;73.83871;;
82777;30/06/1963;0000;;;10;;;;;;;0;;985.761404;30.426316;22.923158;17.826316;63.236842;;
82777;31/07/1963;0000;14;5;10;167.7;;;307.1;4.16129;0;0;;985.765591;30.267742;22.788387;17.587097;63.782258;;
82777;31/08/1963;0000;14;5.797297;14;208.5;;;;3.236559;0;0;;985.972043;31.293548;23.498065;17.874194;65.822581;;
82777;30/09/1963;0000;14;5.611111;14;214.5;;;;4.488889;0;0;;984.951111;33.573333;25.39;19.683333;65.166667;;
82777;31/10/1963;0000;9;5.518182;14;229;;;;4.505376;1;5;;983.825806;35.232258;27.205161;20.758065;47.75;;
82777;30/11/1963;0000;9;4.962222;8;157.5;;;;6.855556;2;38;;985.237778;35.22;27.113333;21.933333;53.033333;;
82777;31/12/1963;0000;9;4.296774;8;121.6;;;;7.83871;12;152;;985.692473;35.480645;25.908387;20.864516;60.16129;;
82777;31/01/1964;0000;9;4.419355;8;97.6;;;;7.602151;9;122;;985.635484;35.374194;25.408387;20.093548;63.064516;;
82777;29/02/1964;0000;9;4.301149;8;88.1;;;;8.011494;12;173;;984.245977;33.396552;25.027586;20.762069;71.446429;;
82777;31/03/1964;0000;9;3.956989;8;60.5;;;;8.301075;14;180;;985.939785;28.806452;23.974839;19.841935;84.193548;;
82777;30/06/1964;0000;9;4.370455;12;64;;;;6.157303;1;2;;955.058427;28.606667;23.134;19.18;82.341667;;
82777;31/07/1964;0000;9;5.795699;10;88;;;;4.634409;0;0;;956.617204;29.793548;;16.587097;80.91129;;
82777;31/08/1964;0000;9;6.430588;10;109.4;;;;5.526882;0;0;;955.667742;30.122581;23.114839;18.664516;80.491935;;
82777;30/09/1964;0000;9;5.284444;8;48.1;;;;8.177778;0;0;;985.392222;29.923333;24.564667;20.69;77.675;;
82777;31/10/1964;0000;9;5.776344;10;135;;;;5.215054;0;0;;955.017582;33.193333;26.415862;21.343333;78.353448;;
82777;30/11/1964;0000;9;7.055556;8;157.3;;;;6.333333;0;0;;952.793333;33.11;25.516;19.426667;66.441667;;
82777;31/12/1964;0000;9;7.422581;8.5;138.1;;;;5.956989;0;0;;951.884946;33.274194;25.875484;19.893548;67.887097;;
82777;28/02/1965;0000;9;7.590361;8;111.8;;;;6.891566;;0;;953.33494;33.239286;25.241429;20.303704;78.625;;
82777;31/03/1965;0000;9;5.591398;8;58.5;;;;7.849462;6;138;;954.443011;30.809677;24.490323;20.367742;82.395161;;
82777;30/04/1965;0000;18;4.177778;8;27.6;;;;8.422222;12;84.6;;955.485556;28.443333;23.144;19.693333;89.083333;;
82777;31/05/1965;0000;18;4.55914;8;59.4;;;;6.892473;4;22.3;;955.107527;29.990323;22.912258;18.087097;86.556452;;
82777;30/06/1965;0000;18;6.622222;8;82.1;;;;6.811111;0;0;;955.578889;29.216667;22.534;18;81.508333;;
82777;31/07/1965;0000;18;6.494624;8;89.5;;;;6.139785;0;0;;953.453763;29.841935;22.881935;17.696774;73.806452;;
82777;31/08/1965;0000;18;6.107527;8;112.2;;;;5.505376;0;0;;951.151613;30.996774;23.736774;18.08;74.0625;;
82777;30/09/1965;0000;18;6.577778;8;119.6;;;;5.511111;3;9.6;;950.816667;32.406667;25.288667;19.51;71.166667;;
82777;31/10/1965;0000;9;5.83871;10;103.3;;;260.8;6.204301;4;29.3;;949.187097;33.151613;26.076774;20.677419;71.201613;;
82777;30/11/1965;0000;9;7.044444;10;124;;;263.6;6.1;3;4.7;;948.322222;33.74;26.817333;21.333333;69.683333;;
82777;31/12/1965;0000;18;5.924731;10;124.1;;;231.2;7.139785;4;20.7;;948.187097;33.564516;26.687097;21.125806;73.275;;
82777;31/01/1966;0000;9;6.709677;10;105.8;;;188.2;7.010753;6;117.4;;948.144086;33.274194;26.779355;22.01;75.032258;;
82777;28/02/1966;0000;9;5.619048;8;39.3;;;119.8;8.607143;12;167;;948.844048;28.65;23.664286;20.382143;85.544643;;
82777;31/03/1966;0000;9;6.225806;8;43.3;;;166.9;8.010753;9;109.5;;948.455914;28.916129;23.382581;19.354839;86.048387;;
82777;30/04/1966;0000;14;4.711111;9;53.3;;;197.3;7.133333;13;104.3;;948.874444;28.806667;23.544;20.166667;86.241667;;
82777;31/05/1966;0000;;;9;;;;;;1;1;;949.925;29.21875;23.355;19.15;73.59375;;
82777;30/06/1966;0000;14;6.574157;12;180.9;;;264.2;5.933333;3;20.8;;950.588889;28.493333;22.822667;18.36;66.933333;;
82777;31/07/1966;0000;14;6.88172;12;280.9;;;251.9;6.086022;0;0;;951.146237;28.622581;22.823226;18.177419;62.362903;;
82777;31/08/1966;0000;14;6.311828;9;280;;;252.5;3.827957;0;0;;951.194624;30.793548;23.544;17.977419;53.5;;
82777;30/09/1966;0000;14;4.877778;9;228.8;;;252.2;4.222222;4;3.1;;950.227536;31.673333;;19.366667;;;
82777;31/10/1966;0000;14;5.258065;12;292.2;;;287.1;5.16129;7;18.6;;948.104396;34.006452;26.624;20.777419;65.941667;;
82777;30/11/1966;0000;9;4.833333;12;166.3;;;225.7;6.822222;5;64.9;;946.794382;32.666667;26.316552;21.566667;74.655172;;
82777;31/12/1966;0000;14;4.709677;9;171.2;;;239;6.365591;6;33.9;;946.211828;32.383871;25.908387;20.812903;66.193548;;
82777;31/01/1967;0000;14;4.096774;9;237.4;;;235.9;6.247312;8;41.9;;947.193548;31.816129;25.345161;20.493548;70.556452;;
82777;28/02/1967;0000;14;3.5;9;73;;;120.1;7.214286;19;291;;947.952381;27.839286;23.252143;20.05;85.544643;;
82777;31/03/1967;0000;14;3.290323;8;81.5;;;161.2;7.129032;19;99.4;;947.817204;28.090323;23.470968;20.164516;84.379032;;
82777;30/04/1967;0000;14;2.888889;9;77.7;;;197.9;6.644444;14;171.6;;948.664444;28.193333;23.246;19.676667;83.958333;;
82777;31/05/1967;0000;14;4.419355;9;104.8;;;231.7;6.075269;11;101.8;;949.596774;27.625806;22.472258;18.648387;80.556452;;
82777;30/06/1967;0000;14;4.977778;10;180.5;;;273.9;4.2;2;12.3;;950.562222;28.016667;21.516;16.663333;72.425;;
82777;31/07/1967;0000;14;5.271739;10;251.3;;;294.1;4.129032;2;0.4;;951.383871;28.174194;21.332258;16.287097;64.16129;;
82777;31/08/1967;0000;14;5.248387;10;278.9;;;312.7;4.225806;1;0.3;;951.677419;29.709677;21.948387;17.096;55.080645;;
82777;30/09/1967;0000;14;4.566667;9;280.6;;;280.2;4.888889;4;19.6;;950.14;32.023333;24.472667;17.98;51.583333;;
82777;31/10/1967;0000;14;5.612903;12;363.5;;;306;4.709677;0;0;;949.312903;32.487097;25.121935;17.796552;42.927419;;
82777;30/11/1967;0000;9;4.088889;10;233.6;;;231;6.033333;3;10.3;;947.112222;31.81;24.582667;20.165217;55.691667;;
82777;31/12/1967;0000;14;3.645161;9;203.1;;;226.8;6.44086;7;100.9;;948.051613;30.964516;24.954194;20.464516;62.675;;
82777;31/01/1968;0000;9;3.387097;9;127.7;;;229.5;6.27957;13;109;;948.194624;29.993548;23.890323;19.919355;75.201613;;
82777;29/02/1968;0000;9;3.781609;9;130.6;;;207.7;6.770115;11;95.3;;947.893103;30.127586;24.03931;20.127586;74.919643;;
82777;31/07/1968;0000;;;;;;;;;;0;;;;;;;;
82777;31/08/1968;0000;14;4.869565;12;250.9;;;308.1;2.247312;0;0;;951.497849;;;18.219355;59.491935;;
82777;30/09/1968;0000;14;4.306818;12;317.1;;;302.9;2.366667;0;0;;950.174444;;;18.966667;50.575;;
82777;31/10/1968;0000;14;3.301075;9;318.5;;;290.7;3.946237;2;13.7;;948.433333;;;20.658065;48.564516;;
82777;30/11/1968;0000;9;3.550562;9;227.9;;;207.8;5.466667;6;44.2;;947.401111;32.003333;26.196667;21.526667;59.433333;;
82777;31/12/1968;0000;14;4.44086;9;213.1;;;189.9;6.27957;5;33.6;;947.886022;;;20.658065;66.556452;;
82777;31/01/1969;0000;14;3.268817;12;106.3;;;175.4;7.27957;14;200.6;;946.758065;;;20.33871;77.169355;;
82777;28/02/1969;0000;14;3.369048;9;86.1;;;179.9;6.702381;11;79.9;;947.004762;;;20.617857;81;;
82777;31/03/1969;0000;14;2.946237;9;91.3;;;174.8;6.978495;9;141.8;;948.064516;29.032143;24.077143;20.535484;81.104839;;
82777;30/04/1969;0000;14;3.733333;12;117.8;;;214.3;6.055556;10;54.7;;948.081111;29.008;23.8488;20.07;80.034483;;
82777;31/05/1969;0000;14;4.892473;12;177.5;;;249.7;5.516129;5;21.5;;949.196774;29.278571;23.908571;20.132258;73.862903;;
82777;30/06/1969;0000;14;5.311111;12;205.1;;;217.3;4.711111;5;6.2;;950.531111;29.015385;23.25;19.23;68.516667;;
82777;31/07/1969;0000;14;5.387097;12;234.6;;;249.8;4.548387;3;6.2;;951.947312;;;19.048387;65.66129;;
82777;31/08/1969;0000;14;5.344086;12;320.1;;;309.6;2.806452;1;0.5;;950.176344;;;18.796774;51.862903;;
82777;30/09/1969;0000;14;4.866667;9;335.6;;;284.6;3.222222;1;1.8;;949.117778;32.73;25.780667;20.093333;46.616667;;
82777;31/10/1969;0000;14;4.55914;9;322.8;;;296.1;3.182796;1;0.6;;947.505376;33.8;26.830323;21.229032;46.790323;;
82777;30/11/1969;0000;14;4.301111;12;271.3;;;268;4.611111;3;3.8;;947.174444;33.606667;27.124667;21.673333;49.633333;;
82777;31/12/1969;0000;14;4.387097;12;258.7;;;191.8;6.580645;5;10.2;;947.398925;32.622581;26.610323;22.067742;54.879032;;
82777;28/02/1970;0000;14;3.807229;9;;;;186.6;7.506024;6;62;;948.059494;31.559259;25.426923;21.211111;64.913462;;
82777;31/03/1970;0000;14;2.849462;7;94.6;;;197.8;8.387097;22;224.6;;948.437634;28.925806;23.714194;20.116129;82.056452;;
82777;30/04/1970;0000;14;3.2;9;124.4;;;219.6;7.3;9;50.2;;948.59;29.863333;24.237333;20.343333;78.316667;;
82777;31/05/1970;0000;14;3.793548;9;206;;;301.7;5.666667;2;1.6;;949.221505;30.780645;23.903871;18.93871;64.701613;;
82777;30/06/1970;0000;14;3.955556;9;159.4;;;266.9;4.977778;1;4.6;;950.813333;30.44;24.347333;19.566667;64.416667;;
82777;31/07/1970;0000;;;9;;;;;;;0;;950.812766;30.175;24.044;18.69375;57.166667;;
82777;31/08/1970;0000;14;4.353763;9;310;;;310.7;4.698925;0;0;;950.113978;30.690323;24.536774;19.509677;55.306452;;
82777;30/09/1970;0000;14;3.333333;7;285.8;;;286.7;4.822222;2;2.4;;948.976667;32.696667;25.953333;20.626667;49.125;;
82777;31/10/1970;0000;14;1.913978;7;316.4;;;273.3;4.817204;3;24.5;;947.676344;33.264516;26.225806;20.93871;54.91129;;
82777;30/11/1970;0000;14;3.402299;7;206.3;;;207.3;6.494253;1;68.4;;946.854651;31.624138;25.597143;21.193103;66.741071;;
82777;31/01/1973;0000;5;4.108696;14;137.4;;;200.5;6.173913;14;123.4;;;31.074194;25.270323;21.309677;69.693548;;
82777;28/02/1973;0000;5;3.119048;9;122.9;;;178.6;6.357143;10;68.2;;;30.657143;25.116429;21.125;72.642857;;
82777;31/03/1973;0000;5;2.913978;9;121.1;;;203.3;6.763441;14;114.5;;;30.7;24.914194;21.780645;77.943548;;
82777;30/04/1973;0000;5;2.733333;8;75;;;162;7.344444;11;118.6;;;28.423333;23.752667;20.973333;83.767241;;
82777;31/05/1973;0000;5;3.956989;9;115.5;;;217.5;5.806452;4;3.9;;;28.983871;23.876774;20.554839;76.895161;;
82777;30/06/1973;0000;14;4.622222;9;156.9;;;206.7;5.711111;11;35.4;;;29.476667;23.172667;18.87;73.016667;;
82777;31/07/1973;0000;14;5.505376;12;214.4;;;271.5;4.397849;6;35;;;29.832258;23.183226;18.435484;63.540323;;
82777;31/08/1973;0000;14;4.675269;9;327.6;;;294.1;3.645161;1;3.2;;;31.312903;24.056774;18.522581;51.362903;;
82777;30/09/1973;0000;14;4.366667;8;383.6;;;260.2;4.955556;3;13;;;32.433333;25.501333;20.206667;48.586207;;
82777;31/10/1973;0000;14;4.107527;8;321;;;246;5.55914;3;61.3;;;32.454839;25.692258;20.932258;54.225806;;
82777;30/11/1973;0000;5;4;8;338.4;;;242.8;5.066667;3;22.2;;;33.38;26.451333;21.386667;49.466667;;
82777;31/12/1973;0000;5;3.870968;9;244.1;;;223.1;5.903226;9;55.7;;;31.967742;25.212258;21.006452;61.846774;;
82777;31/01/1974;0000;5;3.204301;9;169.2;;;150.5;6.849462;11;167.8;;;30.025806;23.832258;19.532258;;;
82777;28/02/1974;0000;0;1.928571;7;61.4;;;132.9;7.130952;20;156.6;;;27.860714;22.535714;19.192857;;;
82777;31/03/1974;0000;0;2.494624;8;64.7;;;112.8;7.967742;23;167.8;;;27.812903;22.685806;19.4;;;
82777;30/04/1974;0000;0;2.388889;8;63;;;128.5;8.1;26;292.6;;;27.833333;22.454667;19.02;;;
82777;31/05/1974;0000;14;3.634409;9;93;;;224.5;5.892473;15;161.6;;;27.693548;22.658065;18.019355;;;
82777;30/06/1974;0000;14;3.977778;9;144.2;;;248.9;4.766667;5;21.1;;;27.42;21.887333;16.48;;;
82777;31/07/1974;0000;14;5.576087;12;239.3;;;265.9;4.419355;2;3.9;;;27.416129;21.123871;16.529032;;;
82777;31/08/1974;0000;14;5.311828;10;312.5;;;300.5;2.688172;0;0;;;30.387097;23.254839;17.806452;54.209677;;
82777;30/09/1974;0000;14;4.6;9;362.3;;;267.4;3.4;1;0.9;;;31.58;24.493333;19.236667;49.65;;
82777;31/10/1974;0000;14;4.376344;9;327.7;;;264.6;3.752688;1;0.5;;;32.548387;25.663871;20.487097;49.427419;;
82777;30/11/1974;0000;9;4.633333;9;293.3;;;230.1;5.455556;6;7.1;;;32.073333;25.481333;20.663333;53.775;;
82777;31/12/1974;0000;5;4.806452;9;305.9;;;241.2;5.344086;3;25.1;;;32.512903;25.642581;20.832258;55.717742;;
82777;31/01/1975;0000;5;4.064516;9;253.6;;;197.4;5.946237;14;76.6;;;31.083871;25.046452;20.541935;61.677419;;
82777;28/02/1975;0000;5;2.97619;9;96.9;;;137;6.440476;12;68;;;28.767857;23.363571;19.575;80.669643;;
82777;31/03/1975;0000;5;2.494624;7;74;;;134.5;6.526882;18;244.9;;;27.8;22.576129;18.987097;87;;
82777;30/04/1975;0000;14;2.744444;8;80.1;;;189.2;5.433333;10;64.6;;;28.36;22.95;19.113333;84.075;;
82777;31/05/1975;0000;14;4.526882;9;128.4;;;218.6;5.602151;11;65.2;;;27.483871;22.247742;18.293548;79.096774;;
82777;30/06/1975;0000;14;4.977778;9;182.8;;;213.1;4.911111;10;19.8;;;28.233333;22.1;17.91;73.708333;;
82777;31/07/1975;0000;14;5.193548;10;152.8;;;236.5;4.709677;5;17.8;;;27.706452;21.688387;17.680645;70.120968;;
82777;31/08/1975;0000;14;5.451613;9;250.3;;;294.2;2.473118;0;0;;;29.719355;22.8;17.945161;54.943548;;
82777;30/09/1975;0000;14;5.577778;10;252.8;;;279.2;2.9;1;3;;;31.463333;24.443333;19.253333;48.825;;
82777;31/10/1975;0000;5;4.387097;10;339.5;;;265.5;3.88172;0;0;;;33.135484;26.326452;21.041935;45.935484;;
82777;30/11/1975;0000;5;4.555556;10;359.9;;;252.4;3.955556;2;4.7;;943.656667;33.43;26.796;21.386667;44.316667;;
82777;31/12/1975;0000;5;4.473118;9;324.9;;;210.7;5.322581;9;16.1;;943.384946;32.090323;25.968387;21.145161;54.596774;;
82777;31/01/1976;0000;5;3.903226;9;255.1;;;219.4;5.290323;12;35.4;;943.460215;31.729032;25.5;20.951613;58.709677;;
82777;29/02/1976;0000;5;2.62069;7;85.2;;;137.6;6.517241;23;291;;944.387356;28.165517;23.010345;19.544828;82.517241;;
82777;31/03/1976;0000;0;3.086022;9;78;;;196.2;5.935484;18;159.6;;943.948387;28.06129;23.010968;19.5;83.758065;;
82777;30/04/1976;0000;14;3.566667;9;96.6;;;237.7;4.366667;12;75.3;;945.327778;28.396667;22.514667;18.32;81.275;;
82777;31/05/1976;0000;14;3.787097;9;162.7;;;273.5;3.677419;1;0.2;;946.032258;30.516129;22.863226;17.248387;68.604839;;
82777;30/06/1976;0000;14;5.088889;10;193.7;;;300.8;2.033333;0;0;;946.575556;30.68;23.112667;17.346667;55.208333;;
82777;31/07/1976;0000;14;5.537634;10;349.2;;;280.3;2.236559;1;0.3;;948.597849;30.122581;23.026452;17.654839;48.516129;;
82777;31/08/1976;0000;14;5.354839;10;392.8;;;306.5;2;0;0;;947.231183;31.412903;23.935484;17.880645;42.959677;;
82777;30/09/1976;0000;14;4.911111;9;366.1;;;246.4;3.833333;4;3;;946.056667;32.326667;25.35;19.533333;47.041667;;
82777;31/10/1976;0000;14;5.010753;9;284.2;;;223.7;5.193548;5;54.4;;944.649462;31.032258;24.579355;19.616129;61.596774;;
82777;30/11/1976;0000;5;4.478889;9;278.9;;;224.5;4.622222;7;27.9;;944.173333;30.963333;24.85;20.18;59.808333;;
82777;31/12/1976;0000;14;4.731183;9;312.7;;;283.1;2.989247;6;53.4;;943.696774;31.922581;25.348387;20.564516;56.685484;;
82777;31/01/1977;0000;14;4.645161;9;218.9;;;154.8;7.139785;12;67.8;;944.382796;29.422581;24.245161;20.441935;69.137097;;
82777;28/02/1977;0000;14;3.416667;9;94.6;;;108.2;6.571429;18;64.1;;945.55119;28.564286;23.094286;19.192857;79.401786;;
82777;31/03/1977;0000;5;3.441935;9;108.6;;;145.3;6.569892;16;109.7;;944.897849;28.612903;23.272903;19.712903;82.193548;;
82777;30/04/1977;0000;14;3.445556;8;97.3;;;175.1;6.111111;13;137.2;;945.024444;28.346667;23.188667;19.64;83.25;;
82777;31/05/1977;0000;14;4.376344;9;128.9;;;219.9;5.182796;9;62.7;;946.146237;27.883871;22.697419;18.770968;79.879032;;
82777;30/06/1977;0000;14;4.933333;9;178.3;;;212.2;4.6;7;18.6;;947.326667;28.153333;22.304667;18.36;74.525;;
82777;31/07/1977;0000;14;6.345161;10;198.9;;;242.6;4.505376;2;2.1;;947.75914;28.677419;22.450323;17.712903;63.556452;;
82777;31/08/1977;0000;14;5.408602;10;345.5;;;299.2;2.666667;1;0.1;;946.997849;31.219355;23.910968;18.222581;50.379032;;
82777;30/09/1977;0000;14;5.433333;10;401.1;;;261.6;3.655556;1;4.9;;946.615556;32.053333;25.419333;20.113333;48.075;;
82777;31/10/1977;0000;14;4.44086;8;382.2;;;242.4;4.827957;1;0.1;;945.326882;33.164516;26.596129;21.341935;47.024194;;
82777;30/11/1977;0000;5;4.522222;9;345.4;;;262.1;3.733333;5;8.5;;944.205556;33.38;27.088667;21.71;46.208333;;
82777;31/12/1977;0000;5;4.516129;9;268.6;;;190.1;5.698925;7;89;;944.569892;31.251613;25.826452;21.735484;59.774194;;
82777;31/01/1978;0000;5;3.280645;8;121.2;;;177.8;5.698925;16;126.4;;945.733333;29.145161;23.822581;20.316129;75.935484;;
82777;28/02/1978;0000;5;2.97619;7;94.2;;;140;6.642857;14;118.1;;945.17381;27.871429;23.187143;20.410714;83.116071;;
82777;31/03/1978;0000;5;3.301075;8;103.4;;;174.7;6.870968;14;49.5;;945.762366;28.732258;19.805161;;79.975806;;
82777;30/04/1978;0000;14;3.566667;8;141.4;;;201.1;5.4;10;112.2;;944.801111;30.696667;;;73.541667;;
82777;31/05/1978;0000;14;3.580645;9;99.1;;;220.7;5.376344;12;83.2;;945.602151;28.625806;21.521935;18.342105;80.427419;;
82777;30/06/1978;0000;14;4.911111;9;186.6;;;228.1;4.4;3;5.1;;948.093333;28.093333;22.004;17.913333;70.175;;
82777;31/07/1978;0000;14;4.956989;9;215;;;240.6;4.548387;7;11.7;;946.817204;29.76129;23.154194;18.709677;64.758065;;
82777;30/09/1978;0000;14;5.853933;10;384.8;;;258.9;3.101124;1;0.5;;946.667416;31.986667;25.253333;19.54;45.5;;
82777;31/10/1978;0000;5;5.258065;10;382.5;;;255.1;4.247312;5;32.1;;945.010753;33.064516;26.578065;21.167742;45.395161;;
82777;30/11/1978;0000;5;4.433333;8;362;;;255.8;3.744444;7;54.7;;944.332222;32.943333;26.360667;20.846667;47.908333;;
82777;31/12/1978;0000;5;4.021505;8;211;;;206.1;5.505376;6;37.2;;944.795699;30.551613;24.593548;20.245161;65.290323;;
82777;31/01/1979;0000;;;8;184;;;167.8;;8;52.1;;937.566667;31.437931;;21.010345;;;
82777;28/02/1979;0000;;;9;;;;127.1;;9;33.9;;938.374194;30.233333;;20.754167;;;
82777;31/03/1979;0000;5;3.793103;8;105.8;;;163.7;5.779661;11;72.6;;937.813559;30.174074;23.817;19.57037;;;
82777;30/04/1979;0000;;;;;;;178.6;;8;66.8;;;30.588462;;19.865385;;;
82777;31/05/1979;0000;;;9;;;;186.8;;3;15.1;;939.783721;29.334615;;19.026923;;;
82777;30/06/1979;0000;;;;;;;203;;1;1.4;;;29.169231;;18.561538;;;
82777;31/07/1979;0000;;;;;;;224.2;;;0;;;30.172;;18.452;;;
82777;31/08/1979;0000;;;;342.6;;;231;;1;1.3;;;31.562963;;19.537037;;;
82777;30/09/1979;0000;;;;;;;;;;0;;;32.56087;;20.456522;;;
82777;31/10/1979;0000;;;;;;;206;;2;16.4;;;33.404167;;21.604167;;;
82777;30/11/1979;0000;;;;;;;187.4;;6;98.9;;;32.520833;;21.491667;;;
82777;31/12/1979;0000;;;;176.9;;;223.3;;4;29.3;;;31.746429;;21.203571;;;
82777;31/01/1980;0000;9;3.761905;8;105.3;;;169.3;5.793651;7;178.1;;944.952381;29.607143;23.842857;19.942857;74.630952;;
82777;29/02/1980;0000;;;7;;;;97.9;;14;146.8;;944.659615;28.52;23.161176;19.772;84.102941;;
82777;31/03/1980;0000;14;3.810811;9;;;;180.6;4.986486;5;37.3;;945.054054;28.976923;23.0632;18.688462;76.35;;
82777;30/04/1980;0000;14;3.955556;8;184.7;;;197.8;3.955556;3;6.2;;944.617778;31.144444;23.977333;19.466667;64.65;;
82777;31/05/1980;0000;;;9;215.4;;;221.2;;2;7.8;;946.085714;30.896296;;19.574074;;;
82777;30/06/1980;0000;;;;252.4;;;223.1;;1;0.2;;;30.675862;;19.155172;;;
82777;31/07/1980;0000;;;;349;;;256.4;;;0;;;30.772414;;18.817241;;;
82777;31/08/1980;0000;;;;;;;235.7;;;0;;;31.604;;19.216;;;
82777;30/09/1980;0000;;;;;;;191.7;;6;11.1;;;33.091667;;20.895833;;;
82777;31/10/1980;0000;;;;;;;;;3;49.6;;;32.995833;;20.809524;;;
82777;30/11/1980;0000;9;3.472222;7;;;;174.2;5.597222;5;30.5;;944.063889;31.461538;;;53;;
82777;31/12/1980;0000;;;8;;;;;;3;11.5;;943.867647;32.286957;;21.666667;;;
82777;31/01/1982;0000;5;2.830769;7;;;;;6;8;124.9;;944.309231;28.918182;23.792727;20.272727;74.625;;
82777;28/02/1982;0000;14;3.484483;8;;;;;6.758621;6;28.3;;944.496552;30.173684;24.493684;20.5;70.328947;;
82777;31/03/1982;0000;5;3.093023;7;92.9;;;160.7;6.488372;13;140.7;;943.897674;29.762069;23.911724;20.303448;79.991379;;
82777;30/04/1982;0000;14;3.395062;8;142.1;;;183.4;5.395062;10;43.3;;944.928395;29.166667;23.561481;19.740741;75.638889;;
82777;31/05/1982;0000;14;4.896552;9;237.2;;;236.5;4.206897;5;6.5;;946.006897;29.927586;23.702069;18.717241;62.336207;;
82777;30/06/1982;0000;14;4.913043;9;;;;;3.42029;;0;;947.465217;30.773913;24.266087;19.095652;53.107143;;
82777;31/07/1982;0000;14;5.390123;9;223.5;;;212.6;3.567901;;0;;947.474074;30.07037;23.880741;18.618519;50.144231;;
82777;31/08/1982;0000;14;5.711111;9;406.9;;;271.1;2.466667;;0;;947.517778;31.353333;24.91;19.293333;44.241379;;
82777;30/09/1982;0000;14;5.153846;8;;;;221.1;3.551282;;0;;946.061538;32.753846;26.233077;20.269231;41.923077;;
82777;31/10/1982;0000;5;4;8;329;;;233.9;3.642857;2;14.8;;944.553571;33.635714;26.845;20.8;39.955357;;
82777;30/11/1982;0000;9;3.777778;8;;;;216.4;3.597222;;0;;943.795833;34.075;27.435833;21.533333;;;
82777;31/12/1982;0000;5;4.117647;8;334;;;218.3;4.870588;4;42.5;;943.870588;33.275;27.407857;22.092857;44.767857;;
82777;31/01/1983;0000;5;4.152174;8;277.6;;;210.8;5.967391;6;17.8;;943.921739;32.570968;26.649032;21.896774;53.580645;;
82777;28/02/1983;0000;14;3.77381;8;185.2;;;172.4;5.964286;10;64.5;;944.816667;30.7;24.963571;20.85;68.5;;
82777;31/03/1983;0000;9;3.929032;8;263.4;;;218.4;5.505376;10;110.4;;944.055914;31.73871;25.599355;21.090323;65.975806;;
82777;30/04/1983;0000;14;4.404494;9;234.2;;;240.6;3.166667;7;10.6;;944.086667;32.336667;25.406;20.233333;61.183333;;
82777;31/05/1983;0000;14;4.097826;8;328.6;;;265.4;3.236559;4;12.4;;944.354839;33.16129;26.492903;21.290323;50.895161;;
82777;30/06/1983;0000;14;4.388889;8;318.8;;;273.5;2.044444;3;14.6;;946.537778;31.733333;25.226;20.1;50.45;;
82777;31/07/1983;0000;14;4.387097;9;328.6;;;273.1;2.462366;2;0.9;;946.937634;31.658065;25.051613;19.76129;48.758065;;
82777;31/08/1983;0000;14;5.043011;9;266.8;;;279.8;2.11828;0;0;;948.005376;31.651613;25.39871;19.951613;49.395161;;
82777;30/09/1983;0000;14;4.455556;9;315.7;;;273.8;2.344444;0;0;;945.883333;33.716667;27.088667;21.193333;40.241667;;
82777;31/10/1983;0000;14;4.206522;8;242.3;;;273.1;3.430108;3;0.6;;944.834409;33.764516;27.514194;21.677419;41.5;;
82777;30/11/1983;0000;5;3.677778;8;170.5;;;269.9;3.022222;1;0.8;;945.102222;33.937931;27.855172;21.765517;42.430556;;
82777;31/12/1983;0000;5;3.844086;8;289.7;;;232.6;5.11828;5;24.9;;944.305376;33.616129;27.509677;21.967742;46.177419;;
82777;31/01/1984;0000;5;3.193548;8;201;;;192.1;5.698925;13;73.9;;944.156989;31.641935;25.536129;20.83871;60.975806;;
