id,Localidade,idh
2300101,Abaiara,0.628
2300150,Acarape,0.606
2300200,Acaraú,0.601
2300309,Acopiara,0.595
2300408,Aiuaba,0.569
2300507,Alcântaras,0.600
2300606,Altaneira,0.602
2300705,Alto Santo,0.601
2300754,Amontada,0.606
2300804,Antonina do Norte,0.599
2300903,Apuiarés,0.618
2301000,Aquiraz,0.641
2301109,Aracati,0.655
2301208,Aracoiaba,0.615
2301257,Ararendá,0.590
2301307,Araripe,0.564
2301406,Aratuba,0.622
2301505,Arneiroz,0.618
2301604,Assaré,0.600
2301703,Aurora,0.605
2301802,Baixio,0.627
2301851,Banabuiú,0.606
2301901,Barbalha,0.683
2301950,Barreira,0.616
2302008,Barro,0.599
2302057,Barroquinha,0.571
2302107,Baturité,0.619
2302206,Beberibe,0.638
2302305,Bela Cruz,0.623
2302404,Boa Viagem,0.598
2302503,Brejo Santo,0.647
2302602,Camocim,0.620
2302701,Campos Sales,0.630
2302800,Canindé,0.612
2302909,Capistrano,0.611
2303006,Caridade,0.592
2303105,Cariré,0.596
2303204,Caririaçu,0.578
2303303,Cariús,0.597
2303402,Carnaubal,0.593
2303501,Cascavel,0.646
2303600,Catarina,0.618
2303659,Catunda,0.609
2303709,Caucaia,0.682
2303808,Cedro,0.627
2303907,Chaval,0.586
2303931,Choró,0.585
2303956,Chorozinho,0.604
2304004,Coreaú,0.610
2304103,Crateús,0.644
2304202,Crato,0.713
2304236,Croatá,0.590
2304251,Cruz,0.632
2304269,Deputado Irapuan Pi,0.609
2304277,Ererê,0.610
2304285,Eusébio,0.701
2304301,Farias Brito,0.633
2304350,Forquilha,0.644
2304400,Fortaleza,0.754
2304459,Fortim,0.624
2304509,Frecheirinha,0.604
2304608,General Sampaio,0.568
2304657,Graça,0.570
2304707,Granja,0.559
2304806,Granjeiro,0.585
2304905,Groaíras,0.633
2304954,Guaiúba,0.617
2305001,Guaraciaba do Norte,0.609
2305100,Guaramiranga,0.637
2305209,Hidrolândia,0.597
2305233,Horizonte,0.658
2305266,Ibaretama,0.577
2305308,Ibiapina,0.608
2305332,Ibicuitinga,0.606
2305357,Icapuí,0.616
2305407,Icó,0.606
2305506,Iguatu,0.677
2305605,Independência,0.632
2305654,Ipaporanga,0.579
2305704,Ipaumirim,0.606
2305803,Ipu,0.618
2305902,Ipueiras,0.573
2306009,Iracema,0.652
2306108,Irauçuba,0.605
2306207,Itaiçaba,0.656
2306256,Itaitinga,0.626
2306306,Itapajé,0.623
2306405,Itapipoca,0.640
2306504,Itapiúna,0.604
2306553,Itarema,0.606
2306603,Itatira,0.562
2306702,Jaguaretama,0.612
2306801,Jaguaribara,0.618
2306900,Jaguaribe,0.621
2307007,Jaguaruana,0.624
2307106,Jardim,0.614
2307205,Jati,0.651
2307254,Jijoca de Jericoaco,0.652
2307304,Juazeiro do Norte,0.694
2307403,Jucás,0.598
2307502,Lavras da Mangabeir,0.613
2307601,Limoeiro do Norte,0.682
2307635,Madalena,0.610
2307650,Maracanaú,0.686
2307700,Maranguape,0.659
2307809,Marco,0.612
2307908,Martinópole,0.599
2308005,Massapê,0.616
2308104,Mauriti,0.605
2308203,Meruoca,0.618
2308302,Milagres,0.628
2308351,Milhã,0.626
2308377,Miraíma,0.592
2308401,Missão Velha,0.622
2308500,Mombaça,0.582
2308609,Monsenhor Tabosa,0.610
2308708,Morada Nova,0.610
2308807,Moraújo,0.581
2308906,Morrinhos,0.588
2309003,Mucambo,0.607
2309102,Mulungu,0.607
2309201,Nova Olinda,0.625
2309300,Nova Russas,0.614
2309409,Novo Oriente,0.605
2309458,Ocara,0.594
2309508,Orós,0.636
2309607,Pacajus,0.659
2309706,Pacatuba,0.675
2309805,Pacoti,0.635
2309904,Pacujá,0.621
2310001,Palhano,0.638
2310100,Palmácia,0.622
2310209,Paracuru,0.637
2310258,Paraipaba,0.634
2310308,Parambu,0.570
2310407,Paramoti,0.583
2310506,Pedra Branca,0.603
2310605,Penaforte,0.646
2310704,Pentecoste,0.629
2310803,Pereiro,0.601
2310852,Pindoretama,0.636
2310902,Piquet Carneiro,0.600
2310951,Pires Ferreira,0.591
2311009,Poranga,0.581
2311108,Porteiras,0.622
2311207,Potengi,0.562
2311231,Potiretama,0.604
2311264,Quiterianópolis,0.594
2311306,Quixadá,0.659
2311355,Quixelô,0.591
2311405,Quixeramobim,0.642
2311504,Quixeré,0.622
2311603,Redenção,0.626
2311702,Reriutaba,0.601
2311801,Russas,0.674
2311900,Saboeiro,0.575
2311959,Salitre,0.540
2312007,Santana do Acaraú,0.587
2312106,Santana do Cariri,0.612
2312205,Santa Quitéria,0.616
2312304,São Benedito,0.611
2312403,São Gonçalo do Amar,0.665
2312502,São João do Jaguari,0.654
2312601,São Luís do Curu,0.620
2312700,Senador Pompeu,0.619
2312809,Senador Sá,0.603
2312908,Sobral,0.714
2313005,Solonópole,0.625
2313104,Tabuleiro do Norte,0.645
2313203,Tamboril,0.580
2313252,Tarrafas,0.576
2313302,Tauá,0.633
2313351,Tejuçuoca,0.584
2313401,Tianguá,0.657
2313500,Trairi,0.606
2313559,Tururu,0.606
2313609,Ubajara,0.648
2313708,Umari,0.591
2313757,Umirim,0.587
2313807,Uruburetama,0.639
2313906,Uruoca,0.566
2313955,Varjota,0.611
2314003,Várzea Alegre,0.629
2314102,Viçosa do Ceará,0.571
